text,label
This is a complex issue that deserves more discussion. Sample ID: 214,0
"Well said, I agree with most of your points. Sample ID: 466",0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 121,1
This is a fair assessment of the situation. Sample ID: 499,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 20,1
This is a fair assessment of the situation. Sample ID: 188,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 71,1
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 106,1
Could you provide sources for this information? Sample ID: 270,0
"Well said, I agree with most of your points. Sample ID: 348",0
This is a complex issue that deserves more discussion. Sample ID: 435,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 102,1
